"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"6698",198296,2005,2,12,"198296_04","JT DMDM","6/17/2024",NA,73,58,3808,"impact","impact_2004-2013",30.74055,-89.82694,"TREM.MS",2
"6699",30602,1963,10,24,"30602_04","GMC IJ","6/13/2024",NA,56,47,1616,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6700",30602,1963,10,24,"30602_01","IJ DMDM","6/13/2024","F",53,42,494,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6701",30602,1963,10,24,"30602_03","DMDM","6/13/2024",NA,58,48,1578,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6702",30602,1963,10,24,"30602_02","IJ","6/13/2024",NA,40,30,426,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6703",30957,1963,11,21,"30957_01","SC DMDM","6/20/2024","F",54,46,1098,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6704",30957,1963,11,21,"30957_03","DJB CLW","6/20/2024",NA,67,53,2068,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6705",30957,1963,11,21,"30957_04","DJB GMC","6/20/2024",NA,40,33,379,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6706",30957,1963,11,21,"30957_02","SC GMC","6/20/2024",NA,44,35,493,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6707",31254,1963,7,11,"31254_01","hmt acl dd","5/6/2024","na",68,57,NA,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6708",31254,1963,7,11,"31254_02","HMT ACL","5/6/2024","F",63,51,NA,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6709",31254,1963,7,11,"31254_04","sd acl","5/7/2024","na",39,31,NA,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6710",31254,1963,7,11,"31254_03","HMT DD","5/6/2024",NA,68,55,NA,"control","control_1954-1963",30.77861,-89.82972,"TREM.NEA",0
"6711",37344,1965,3,18,"37344_01","SC CJW GMC IJ","6/12/2024",NA,67,56,2716,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6712",37344,1965,3,18,"37344_02","DJB DMDM","6/12/2024","F",71,52,3394,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6713",37344,1965,3,18,"37344_04","DJB KL","6/12/2024",NA,95,83,11012,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6714",37344,1965,3,18,"37344_03","SC CJW","6/12/2024",NA,96,81,9605,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6715",39293,1965,11,19,"39293_01","SC CJW","6/17/2024",NA,64,51,1777,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6716",39293,1965,11,19,"39293_03","SC CJW","6/17/2024",NA,46,37,595,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6717",39293,1965,11,19,"39293_02","DJB GMC","6/17/2024","F ",63,50,1546,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6718",39293,1965,11,19,"39293_04","DJB GMC","6/17/2024","M",57,45,1230,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6719",40619,1966,4,22,"40619_03","DJB GMC","6/14/2024",NA,71,57,3117,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6720",40619,1966,4,22,"40619_04","DJB CLW","6/14/2024",NA,57,41,1541,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6721",40619,1966,4,22,"40619_02","CLW","6/14/2024",NA,48,40,813,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6722",40619,1966,4,22,"40619_01","SC KL","6/14/2024",NA,49,39,854,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6723",53048,1968,7,18,"53048_04","SC KL","6/17/2024",NA,58,47,1644,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6724",53048,1968,7,18,"53048_02","DJB CJW","6/17/2024",NA,67,55,2853,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6725",53048,1968,7,18,"53048_01","SC CLW","6/17/2024",NA,52,41,1098,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6726",53048,1968,7,18,"53048_03","SC DMDM","6/17/2024","F",53,43,1325,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6727",62155,1970,4,27,"62155_02","SC DD","6/11/2024","F",55,46,1530,"impact","impact_1964-1973",30.705,-89.84611,"TREM.NEA",0
"6728",62155,1970,4,27,"62155_03","IJ GMC","6/11/2024",NA,51,42,1541,"impact","impact_1964-1973",30.705,-89.84611,"TREM.NEA",0
"6729",62155,1970,4,27,"62155_01","KL CJW","6/11/2024",NA,36,27,334,"impact","impact_1964-1973",30.705,-89.84611,"TREM.NEA",0
"6730",62155,1970,4,27,"62155_04","DJB GMC","6/11/2024","F",33,26,235,"impact","impact_1964-1973",30.705,-89.84611,"TREM.NEA",0
"6731",68175,1971,1,25,"68175_01","IJ CLW","6/13/2024",NA,46,35,674,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6732",68175,1971,9,25,"68175_03","JT GMC","6/13/2024","M",60,46,1666,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6733",68175,1971,7,25,"68175_04","IJ GMC","6/13/2024","M",39,32,532,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6734",68175,1971,1,25,"68175_02","DJB DMDM","6/13/2024",NA,56,41,1509,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6735",70599,1971,7,15,"70599_03","SD DD","4/30/2024",NA,83,69,NA,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6736",70599,1971,7,15,"70599_02","SD DD","4/30/2024","F",68,57,NA,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6737",70599,1971,7,15,"70599_04","SD ACL KL","4/30/2024","F",71,57,NA,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6738",70599,1971,7,15,"70599_01","SD DD","4/30/2024",NA,60,50,NA,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6739",81611,1973,1,23,"81611_03","JT/ SC/ GMC","6/24/2024","na",61,53,3096,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6740",81611,1973,1,23,"81611_04","JT/DMDM","6/24/2024","na",38,24,395,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6741",81611,1973,1,23,"81611_01","DJB SC/ CJW","6/24/2024",NA,39,33,437,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6742",81611,1973,1,23,"81611_02","DJB/SC/DMDM","6/24/2024","na",51,41,1058,"impact","impact_1964-1973",30.74055,-89.82694,"TREM.NEA",0
"6743",81715,1973,4,17,"81715_02","JT DJB/DMDM","6/18/2024","F",69,53.5,3028,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6744",81715,1973,4,17,"81715_04","JT DMDM","6/18/2024","F",73,59,3552,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6745",81715,1973,4,17,"81715_01","SC DJB/DMDM","6/18/2024","F",69,57,2654,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6746",81715,1973,4,17,"81715_03","SC DJB/GMC","6/18/2024","F",62,51,2098,"impact","impact_1964-1973",30.70222,-89.84417,"TREM.NEA",0
"6747",83913,1973,10,16,"83913_04","DJB CLW","6/12/2024",NA,32,23,122,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6748",83913,1973,10,16,"83913_01","DJB DMDM","6/12/2024",NA,65,51,1984,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6749",83913,1973,10,16,"83913_02","SC SC and KL","6/12/2024",NA,59,47,1462,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6750",83913,1973,10,16,"83913_03","JT SC KL","6/12/2024",NA,39,30,392,"control","control_1964-1973",30.77861,-89.82972,"TREM.NEA",0
"6751",93674,1975,2,28,"93674_01","JT CJW","6/18/2024",NA,41,30,481,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6752",93674,1975,2,28,"93674_04","SC CJW","6/18/2024",NA,33,26,264,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6753",93674,1975,2,28,"93674_02","SC SC/CJW","6/18/2024","F",53,44,1022,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6754",93674,1975,2,28,"93674_03","IJ SC/CJW","6/18/2024",NA,42,35,509,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6755",101642,1977,4,13,"101642_04","JT DMDM","6/12/2024","F",63,49,2863,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6756",101642,1977,4,13,"101642_01","DJB KL","6/12/2024",NA,69,56,3430,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6757",101642,1977,4,13,"101642_03","DJB DMDM and DJB","6/12/2024",NA,72,64,5836,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6758",101642,1977,4,13,"101642_02","JT GMC","6/12/2024","F",63,48,2619,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6759",104703,1977,11,4,"104703_01","SC DMDM","6/21/2024",NA,61,49,1902,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6760",104703,1977,11,4,"104703_03","DJB KL","6/21/2024",NA,55,43,1289,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6761",104703,1977,11,4,"104703_02","DMDM GMC/CJW","6/21/2024",NA,53,42,1180,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6762",104703,1977,11,4,"104703_04","SC CJW","6/21/2024",NA,82,67,5601,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6763",106298,1978,3,23,"106298_01","SC KL and DB","6/11/2024",NA,60,46,1637,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6764",106298,1978,3,23,"106298_02","DJB DMDM","6/11/2024",NA,41,34,505,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6765",106298,1978,3,23,"106298_04","IJ CJW","6/11/2024",NA,26,21,138,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6766",106298,1978,3,23,"106298_03","JT CJW","6/11/2024",NA,35,27,282,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6767",108550,1978,7,19,"108550_01","IJ GMC","6/11/2024",NA,81,65,7100,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6768",108550,1978,7,19,"108550_02","SC CLW","6/11/2024","F",58,49,2077,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6769",108550,1978,7,19,"108550-03","DJB GMC","6/11/2024","M",52,40,1560,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6770",108550,1978,7,19,"108550_04","JT DMDM","6/11/2024",NA,83,69,6587,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6771",109949,1973,10,25,"109949_01","DJB SC/DMDM","6/24/2024",NA,43,34,610,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6772",109949,1978,10,25,"109949_02","JT/ GMC","6/24/2024",NA,50,39,1005,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6773",109949,1973,10,25,"109949_04","SC/DMDM","6/24/2024","na",36,31,365,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6774",109949,1978,10,25,"109949_03","SC KL/SC/DMDM","6/24/2024","na",46,38,728,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6775",111516,1979,1,31,"111516_02","JT SC/GMC","6/20/2024",NA,35,27,186,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6776",111516,1979,1,31,"111516_03","IJ DJB/GMC","6/20/2024",NA,55,45,1621,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6777",111516,1979,1,31,"111516_04","DJB DJB/KL","6/20/2024",NA,62,49,2017,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6778",111516,1979,1,31,"111516_01","IJ DJB/GMC","6/20/2024",NA,31,24,NA,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6779",115164,1979,10,25,"115164_02","SC CJW","6/12/2024",NA,36,26,279,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6780",115164,1979,10,25,"115164_04","SC JT KL CJW","6/12/2024",NA,41,32,464,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6781",115164,1979,10,25,"115164_01","DJB CJW","6/12/2024",NA,29,24,167,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6782",115164,1979,10,25,"115164_03","DJB GMC","6/12/2024","F",41,33,437,"impact","impact_1974-1983",30.705,-89.84611,"TREM.NEA",0
"6783",116271,1980,1,30,"116271_03","DJB SC/DMDM","6/20/2024",NA,61,49,1789,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6784",116271,1980,1,30,"116271_04","JT SC/GMC","6/20/2024",NA,61,47,1683,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6785",116271,1980,1,30,"116271_02","IJ SC/KL","6/20/2024",NA,63,50,2030,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6786",116271,1980,1,30,"116271_01","JT DJB/CLW","6/20/2024",NA,59,46,1538,"control","control_1974-1983",30.77861,-89.82972,"TREM.NEA",0
"6787",120278,1981,1,22,"120278_03","JT GMC","6/17/2024",NA,73,63,4039,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6788",120278,1981,1,22,"120278_01","SC DMDM","6/17/2024",NA,78,64,3858,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6789",120278,1981,1,22,"120278_02","DJM DJM/DMDM","6/17/2024",NA,56,44,1287,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6790",120278,1981,1,22,"120278_04","DJB KL","6/17/2024",NA,61,51,1841,"impact","impact_1974-1983",30.70222,-89.84417,"TREM.NEA",0
"6791",128696,1983,1,27,"128696_01","SC DJB","6/18/2024",NA,46,37,714,"control","control_1974-1983",30.7825,-89.82027,"TREM.NEA",0
"6792",128696,1983,1,27,"128696_04","DJB DMDM","6/18/2024",NA,56,45,1406,"control","control_1974-1983",30.7825,-89.82027,"TREM.NEA",0
"6793",128696,1983,1,27,"128696_02","JT CJW","6/18/2024",NA,53.5,40,1108,"control","control_1974-1983",30.7825,-89.82027,"TREM.NEA",0
"6794",128696,1983,1,27,"128696_03","IJ DJB/CJW","6/18/2024",NA,67,48,1868,"control","control_1974-1983",30.7825,-89.82027,"TREM.NEA",0
"6795",138233,1984,10,19,"138233_01","SC CLW","6/17/2024",NA,50,41,1038,"impact","impact_1984-1993",30.74055,-89.82694,"TREM.NEA",0
"6796",138233,1984,10,19,"138233_04","DJB DJB/GMC","6/17/2024",NA,48,37,833,"impact","impact_1984-1993",30.74055,-89.82694,"TREM.NEA",0
"6797",138233,1984,10,19,"138233_03","DJB DJB/CJW","6/17/2024",NA,42,38,818,"impact","impact_1984-1993",30.74055,-89.82694,"TREM.NEA",1
"6798",138233,1984,10,19,"138233_02","SC DMDM","6/17/2024","F",52,41,1170,"impact","impact_1984-1993",30.74055,-89.82694,"TREM.NEA",0
"6799",140323,1985,4,25,"140323_04","JT SC/CJW","6/20/2024",NA,46,35,631,"impact","impact_1984-1993",30.75667,-89.82611,"TREM.NEA",0
"6800",140323,1985,4,25,"140323_01","IJ DJB/CJW","6/20/2024",NA,34,27,210,"impact","impact_1984-1993",30.75667,-89.82611,"TREM.NEA",0
"6801",140323,1985,4,25,"140323_02","JT SC/CJW","6/20/2024",NA,47,36,801,"impact","impact_1984-1993",30.75667,-89.82611,"TREM.NEA",0
"6802",140323,1985,4,25,"140323_03","IJ SC/DMDM","6/20/2024",NA,63,51,2047,"impact","impact_1984-1993",30.75667,-89.82611,"TREM.NEA",0
"6803",140348,1985,4,25,"140348_01","KL","7/12/2023",NA,81,68,NA,"impact","impact_1984-1993",30.705,-89.84611,"TREM.NEA",0
"6804",150524,1987,10,29,"150524_04","DJB KL","6/13/2024","F",51,40,762,"impact","impact_1984-1993",30.705,-89.84611,"TREM.NEA",0
"6805",150524,1987,10,29,"150524_02","IJ KL","6/13/2024",NA,94,72,8302,"impact","impact_1984-1993",30.705,-89.84611,"TREM.NEA",0
"6806",150524,1987,10,29,"150524_01","DJB DJB KL","6/13/2024",NA,62,51,2040,"impact","impact_1984-1993",30.705,-89.84611,"TREM.NEA",0
"6807",150524,1987,10,29,"150524_03","SC KL","6/14/2024",NA,54,42,1049,"impact","impact_1984-1993",30.705,-89.84611,"TREM.NEA",0
"6808",157327,1990,1,25,"157327_02","DJB CJW","6/21/2024",NA,72,58,3024,"impact","impact_1984-1993",30.19778,-89.65611,"TREM.NEA",0
"6809",157327,1990,1,25,"157327_01","DJB GMC","6/21/2024",NA,83,69,5840,"impact","impact_1984-1993",30.19778,-89.65611,"TREM.NEA",0
"6810",157327,1990,1,25,"157327_04","SC JT/KL","6/21/2024",NA,71,58,3298,"impact","impact_1984-1993",30.19778,-89.65611,"TREM.NEA",0
"6811",157327,1990,1,25,"157327_03","SC GMC","6/21/2024",NA,73,60,3543,"impact","impact_1984-1993",30.19778,-89.65611,"TREM.NEA",0
"6812",159201,1990,10,19,"159201_03","GMC ","6/21/2024",NA,80,61,5287,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6813",159201,1990,10,19,"159291_01","DJB/ DMDM","6/24/2024",NA,73,59,3944,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6814",159201,1990,10,19,"159201_04","KL/SC","6/24/2024","na",71,61,3402,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6815",159201,1994,10,19,"159201_02","SC CJW","6/24/2024",NA,54,71,7166,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6816",159966,1991,1,3,"159966_04","SC CLW","6/14/2024",NA,59,51,2112,"control","control_1984-1993",30.77583,-89.82722,"TREM.NEA",0
"6817",159966,1991,1,3,"15966_02","DJB DMDM","6/14/2024",NA,59,42,1649,"control","control_1984-1993",30.77583,-89.82722,"TREM.NEA",0
"6818",159966,1991,1,3,"159966_03","IJ KL","6/14/2024",NA,69,53,3143,"control","control_1984-1993",30.77583,-89.82722,"TREM.NEA",0
"6819",159966,1991,1,3,"159966_01","JT KL","6/14/2024",NA,36,26,288,"control","control_1984-1993",30.77583,-89.82722,"TREM.NEA",0
"6820",160032,1991,1,3,"160032_02","DJB DMDM","6/21/2024",NA,85,70,6351,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6821",160032,1991,1,3,"160032_04","DJB SC/KL","6/21/2024",NA,81,62,4974,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6822",160032,1991,1,3,"160032_03","DJB KL/CLW","6/21/2024",NA,83,71,5804,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6823",160032,1991,1,3,"160032_01","DJB DMDM","6/21/2024",NA,82,69,5614,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6824",160352,1996,4,26,"160352_04","SC GMC","6/18/2024",NA,90,76,7790,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6825",160352,1996,4,26,"160352_02","DJB SC/KL","6/18/2024","F",64,54,2357,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6826",160352,1996,4,26,"160352_01","SC SC/GMC","6/18/2024","F",60,49,1958,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6827",160352,1996,4,26,"160352_03","DJB IJ/KL","6/18/2024",NA,74,60,4172,"impact","impact_1984-1993",30.70222,-89.84417,"TREM.NEA",0
"6828",162883,1992,4,24,"162883_01","DJB CJW","6/21/2024",NA,40,33,492,"control","control_1984-1993",30.76528,-89.83222,"TREM.NEA",0
"6829",162883,1992,4,24,"162883_04","SC DMDM","6/21/2024",NA,88,73,6724,"control","control_1984-1993",30.76528,-89.83222,"TREM.NEA",0
"6830",162883,1992,4,24,"162883_02","SC IJ/GMC","6/21/2024",NA,70,57,2807,"control","control_1984-1993",30.76528,-89.83222,"TREM.NEA",0
"6831",162883,1992,4,24,"162883_03","DJB KL","6/21/2024",NA,78,63,4070,"control","control_1984-1993",30.76528,-89.83222,"TREM.NEA",1
"6832",167348,1993,7,2,"167348_03","JT SC","6/20/2024","F",48,36,830,"control","control_1984-1993",30.7825,-89.82027,"TREM.NEA",0
"6833",167348,1993,7,2,"167348_01","SC KL/SC","6/20/2024",NA,61,49,1934,"control","control_1984-1993",30.7825,-89.82027,"TREM.NEA",1
"6834",167348,1993,7,2,"167348_02","DJB DMDM","6/20/2024",NA,44,37,696,"control","control_1984-1993",30.7825,-89.82027,"TREM.NEA",0
"6835",167348,1993,7,2,"167348_04","IJ SC/KL","6/20/2024","F",54,44,1436,"control","control_1984-1993",30.7825,-89.82027,"TREM.NEA",0
"6836",169485,1994,1,15,"169485_03","DJB DMDM","6/24/2024",NA,47,38,845,"impact","impact_1994-2003",30.75667,-89.82611,"TREM.NEA",0
"6837",169485,1994,1,15,"169485_02","DJB SC CJW","6/24/2024",NA,37,30,376,"impact","impact_1994-2003",30.75667,-89.82611,"TREM.NEA",0
"6838",169485,1994,1,15,"169485_01","JT  SC/ CJW","6/24/2024","na",40,31,437,"impact","impact_1994-2003",30.75667,-89.82611,"TREM.NEA",0
"6839",169485,1994,1,15,"169485_04","IJ GMC/DMDM","6/24/2024",NA,40,31,418,"impact","impact_1994-2003",30.75667,-89.82611,"TREM.NEA",0
"6840",169529,1994,1,15,"169529_03","JT SC / CJW","6/24/2024","na",82,69,5950,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6841",169529,1994,1,15,"169529_02","DJB CJW","6/24/2024",NA,71,59,2775,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6842",169529,1994,1,15,"169529_01","JT SC/KL","6/24/2024",NA,82,69,5991,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6843",169529,1994,1,15,"169529_04","DJB SC/GMC","6/24/2024",NA,72,64,4422,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6844",169820,1994,4,9,"169820_01","IJ GMC","6/18/2024","F",71,54,3554,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6845",169820,1994,4,9,"169820_02","SC DJB/KL","6/18/2024",NA,71,59,3077,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6846",169820,1994,4,9,"169820_04","JT GMC","6/18/2024","F",74,59,3986,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6847",169820,1994,4,9,"169820_03","SC DJB/DMDM","6/18/2024","F",56,46,1399,"impact","impact_1994-2003",30.70222,-89.84417,"TREM.NEA",0
"6848",172508,1995,1,14,"172508_02","DJB CLW","6/13/2024",NA,39,30,396,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6849",172508,1995,1,14,"172508_4","SC KL ","6/14/2024",NA,46,36,696,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6850",172508,1995,1,14,"172508_01","SC GMC","6/13/2024","F",39,31,554,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6851",172508,1995,1,14,"172508_03","DJB CLW","6/13/2024",NA,43,33,525,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6852",177852,1996,1,13,"177852_02","SC KL","6/17/2024",NA,39,32,497,"impact","impact_1994-2003",30.73694,-89.82694,"TREM.NEA",0
"6853",177852,1996,1,13,"177852_03","DJB KL","6/17/2024",NA,35,28,504,"impact","impact_1994-2003",30.73694,-89.82694,"TREM.NEA",0
"6854",177852,1996,1,13,"177852_04","SC GMC","6/17/2024",NA,36,28,312,"impact","impact_1994-2003",30.73694,-89.82694,"TREM.NEA",0
"6855",177852,1996,1,13,"177852_01","DJB GMC","6/17/2024","F",40,31,812,"impact","impact_1994-2003",30.73694,-89.82694,"TREM.NEA",0
"6856",178363,1996,4,6,"178363_03","SC CLW","6/13/2024",NA,33,29,295,"control","control_1994-2003",30.77611,-89.82722,"TREM.NEA",0
"6857",178363,1996,4,6,"178363_04","SC CLW","6/13/2024",NA,41,32,466,"control","control_1994-2003",30.77611,-89.82722,"TREM.NEA",0
"6858",178363,1996,4,6,"178363_02","JT CLW","6/13/2024",NA,41.5,31,588,"control","control_1994-2003",30.77611,-89.82722,"TREM.NEA",0
"6859",178363,1996,4,6,"178363_01","DJB CJW/GMC","6/13/2024","M",38,33,485,"control","control_1994-2003",30.77611,-89.82722,"TREM.NEA",0
"6860",182098,1997,1,4,"182098_02","SC GMC","6/20/2024",NA,76,63,3967,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6861",182098,1997,1,4,"182098_04","DJB CJW/KL","6/20/2024",NA,74,63,3608,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6862",182098,1997,1,4,"182098_01","SC IJ/KL","6/20/2024",NA,83,69,6117,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6863",182098,1997,1,4,"182098_03","DJB CLW","6/20/2024",NA,70,58,4001,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",1
"6864",182476,1997,4,13,"182456_01","SC CJW","6/13/2024",NA,36,27,349,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6865",182476,1997,4,13,"182476_03","SC GMC","6/14/2024",NA,46,37,723,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6866",182476,1997,4,13,"182476_04","DJB DMDM GMC","6/13/2024",NA,70,57,3931,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6867",182476,1997,4,13,"182476_02","SC SC/CJW","6/13/2024",NA,41,32,485,"control","control_1994-2003",30.77611,-89.82777,"TREM.NEA",0
"6868",184043,1997,6,28,"184043_04","sd acl gmc","4/30/2024","f",64,52,NA,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6869",184043,1997,6,28,"184043_02","sd cjw","4/30/2024","na",65,53,NA,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6870",184043,1997,6,28,"184043_01","sd kl","4/30/2024","f",64,53,NA,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6871",184043,1997,6,28,"184043_03","SD KL","4/30/2024",NA,47,38,NA,"control","control_1994-2003",30.7825,-89.82027,"TREM.NEA",0
"6872",187125,1999,1,16,"187125_02","DJB SC/CJW","6/24/2024","na",75,63,4461,"impact","impact_1994-2003",30.75444,-89.82722,"TREM.NEA",0
"6873",187125,1999,1,16,"187125_01","SC SC/GMC","6/24/2024","na",85,72,6642,"impact","impact_1994-2003",30.75444,-89.82722,"TREM.NEA",0
"6874",187125,1999,1,16,"187125_04","JT/DMDM","6/24/2024","na",39,30,408,"impact","impact_1994-2003",30.75444,-89.82722,"TREM.NEA",0
"6875",187125,1999,1,16,"187125_03","ij gmc","6/24/2024","na",30,20,202,"impact","impact_1994-2003",30.75444,-89.82722,"TREM.NEA",0
